Feature,Coefficient
x0_Sample_Time_Min,0.006880412352642485
x1_SI_Epstein_Barr_virus_(chronic_latent)_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.0066903384283703
x1_SI_Herpes_simplex_virus_1_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.0054299754258063234
x1_Flow_Cyt_HLADRCD16hiNeutMFInonnorm,0.0038224059602646795
x0_Symp_Survey_Long_COVID_Propensity_Score_Optimized,0.0033266684795473047
x1_Flow_Cyt_HLADRofDC2MFInonnorm,0.0031889182560876465
x1_Flow_Cyt_HLADREosMFInonnorm,0.0031603671396718404
x1_SI_Cytomegalovirus_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.002631373413464547
x1_Flow_Cyt_HLADRCD16intNeutMFInonnorm,0.0024461456574461603
x1_Flow_Cyt_CD66bEosMFInonnorm,0.001948655266637439
x1_ELISA_S1_800_ML,0.0009881533224383563
x1_ELISA_N_400_ML,0.0008090250355907745
x1_Flow_Cyt_HLADRintMonoMFInonnorm,0.00022221470000927948
x1_RBD_800_ML,3.872741694965994e-05
x1_ELISA_S_Tot_800_ML,-0.00012230251187824335
x1_Flow_Cyt_CD66bCD16intNeutMFInonnorm,-0.00021970000175119324
x1_Flow_Cyt_HLADRofDC1MFInonnorm,-0.0005426128319054711
x1_Flow_Cyt_CD66bTotalNeutMFInonnorm,-0.0013815503708451567
x1_Flow_Cyt_HLADRofTotalMono1MFInonnorm,-0.002036215420473928
x1_Flow_Cyt_CD66bCD16hiNeutMFInonnorm,-0.003631080793788332
x1_Flow_Cyt_HLADRcMonoMFInonnorm,-0.003908191980297115
x1_Flow_Cyt_HLADRncMonoMFInonnorm,-0.007099873724665118
