fold,n_minority_train,recall,precision,f1,avg_precision,roc_auc,threshold,note,pipeline
1,5,0.0,0.0,0.0,0.16233766233766234,0.875,1.0,ok,Logistic_PCA50_cost20
2,4,0.0,0.0,0.0,0.11203703703703703,0.7401129943502825,1.0,ok,Logistic_PCA50_cost20
3,5,0.0,0.0,0.0,0.1125,0.8050847457627118,1.0,ok,Logistic_PCA50_cost20
4,5,0.0,0.0,0.0,0.06847826086956521,0.6666666666666666,1.0,ok,Logistic_PCA50_cost20
5,4,0.0,0.0,0.0,0.07865497076023392,0.6101694915254238,1.0,ok,Logistic_PCA50_cost20
6,5,0.0,0.0,0.0,0.09761904761904762,0.7627118644067796,1.0,ok,Logistic_PCA50_cost20
7,5,0.0,0.0,0.0,0.07614942528735633,0.6833333333333333,1.0,ok,Logistic_PCA50_cost20
8,4,0.0,0.0,0.0,0.08199112978524743,0.632768361581921,1.0,ok,Logistic_PCA50_cost20
9,5,0.0,0.0,0.0,0.09109311740890688,0.7542372881355932,1.0,ok,Logistic_PCA50_cost20
10,5,0.0,0.0,0.0,0.10368663594470046,0.7083333333333334,1.0,ok,Logistic_PCA50_cost20
11,4,0.0,0.0,0.0,0.07458610684417136,0.5988700564971752,1.0,ok,Logistic_PCA50_cost20
12,5,0.0,0.0,0.0,0.09821428571428571,0.771186440677966,1.0,ok,Logistic_PCA50_cost20
13,5,0.0,0.0,0.0,0.06190476190476191,0.6083333333333333,1.0,ok,Logistic_PCA50_cost20
14,4,1.0,0.2,0.3333333333333333,0.30634920634920637,0.9209039548022598,0.02803616462150131,ok,Logistic_PCA50_cost20
15,5,0.0,0.0,0.0,0.14583333333333331,0.8559322033898306,1.0,ok,Logistic_PCA50_cost20
1,5,1.0,0.25,0.4,0.7,0.975,0.52,ok,BalancedRF_PCA50
2,4,1.0,0.21428571428571427,0.35294117647058826,0.44285714285714284,0.9576271186440678,0.565,ok,BalancedRF_PCA50
3,5,0.5,0.2,0.2857142857142857,0.5666666666666667,0.8983050847457626,0.56,ok,BalancedRF_PCA50
4,5,0.5,0.2,0.2857142857142857,0.3269230769230769,0.9041666666666667,0.595,ok,BalancedRF_PCA50
5,4,1.0,0.2,0.3333333333333333,0.7380952380952381,0.9406779661016949,0.57,ok,BalancedRF_PCA50
6,5,1.0,0.2,0.3333333333333333,0.29166666666666663,0.9449152542372881,0.485,ok,BalancedRF_PCA50
7,5,1.0,0.2,0.3333333333333333,0.35,0.9375,0.51,ok,BalancedRF_PCA50
8,4,0.6666666666666666,0.2,0.3076923076923077,0.2869047619047619,0.7655367231638417,0.54,ok,BalancedRF_PCA50
9,5,0.5,0.2,0.2857142857142857,0.5833333333333334,0.9152542372881356,0.54,ok,BalancedRF_PCA50
10,5,1.0,0.2,0.3333333333333333,0.225,0.9125,0.52,ok,BalancedRF_PCA50
11,4,0.3333333333333333,0.25,0.2857142857142857,0.16003584229390683,0.7542372881355932,0.575,ok,BalancedRF_PCA50
12,5,1.0,0.2,0.3333333333333333,0.375,0.9533898305084746,0.52,ok,BalancedRF_PCA50
13,5,1.0,0.2,0.3333333333333333,0.18333333333333335,0.8916666666666667,0.51,ok,BalancedRF_PCA50
14,4,1.0,0.23076923076923078,0.375,0.6388888888888888,0.9463276836158192,0.49,ok,BalancedRF_PCA50
15,5,1.0,0.2,0.3333333333333333,0.6666666666666666,0.9745762711864406,0.51,ok,BalancedRF_PCA50
1,5,1.0,0.2,0.3333333333333333,0.29166666666666663,0.9333333333333333,0.08742417667626522,ok,SMOTE_Logistic_PCA50
2,4,0.0,0.0,0.0,0.12037037037037038,0.7514124293785311,1.0,ok,SMOTE_Logistic_PCA50
3,5,0.0,0.0,0.0,0.12681159420289856,0.7796610169491526,1.0,ok,SMOTE_Logistic_PCA50
4,5,0.0,0.0,0.0,0.06340579710144928,0.6333333333333333,1.0,ok,SMOTE_Logistic_PCA50
5,4,0.0,0.0,0.0,0.0985105580693816,0.7005649717514124,1.0,ok,SMOTE_Logistic_PCA50
6,5,0.0,0.0,0.0,0.10555555555555556,0.7796610169491525,1.0,ok,SMOTE_Logistic_PCA50
7,5,0.0,0.0,0.0,0.09401709401709402,0.7333333333333334,1.0,ok,SMOTE_Logistic_PCA50
8,4,0.0,0.0,0.0,0.09999999999999999,0.6779661016949152,1.0,ok,SMOTE_Logistic_PCA50
9,5,0.0,0.0,0.0,0.06971153846153846,0.6694915254237288,1.0,ok,SMOTE_Logistic_PCA50
10,5,0.0,0.0,0.0,0.10250000000000001,0.7499999999999999,1.0,ok,SMOTE_Logistic_PCA50
11,4,0.0,0.0,0.0,0.06893719806763285,0.559322033898305,1.0,ok,SMOTE_Logistic_PCA50
12,5,0.0,0.0,0.0,0.09583333333333333,0.7627118644067796,1.0,ok,SMOTE_Logistic_PCA50
13,5,0.0,0.0,0.0,0.05964912280701754,0.5833333333333334,1.0,ok,SMOTE_Logistic_PCA50
14,4,0.0,0.0,0.0,0.1503267973856209,0.8022598870056498,1.0,ok,SMOTE_Logistic_PCA50
15,5,0.0,0.0,0.0,0.08125,0.7203389830508475,1.0,ok,SMOTE_Logistic_PCA50
