feature,selection_count,selection_frequency
x0_LC_Symptom_confusion_ML_2,15,1.0
x0_LC_Symptom_mood_ML_2,15,1.0
x0_Vac_Num_at_Draw,15,1.0
x1_Cytokines_Cortisol_Obs_Conc_ng/mL_GG21.1_ML,15,1.0
x0_LC_Symptom_indig_reflux_ML_7,14,0.9333333333333333
x0_LC_Symptom_jtpain_swell_ML_8,12,0.8
x0_LC_Symptom_sleep_ML_2,12,0.8
x0_LC_Symptom_weakness_ML_8,12,0.8
x1_Flow_Cyt_CD66bCD16hiNeutMFInonnorm,12,0.8
x0_LC_Symptom_dyspnea_ML_5,10,0.6666666666666666
x0_LC_Symptom_mmpain_cramp_ML_8,10,0.6666666666666666
x1_Flow_Cyt_CD66bEosMFInonnorm,9,0.6
x1_Flow_Cyt_CD66bTotalNeutMFInonnorm,9,0.6
x0_LC_Symptom_memory_ML_2,8,0.5333333333333333
x0_LC_Symptom_pins_need_ML_2,8,0.5333333333333333
x0_LC_Symptom_chestpain_ML_6,7,0.4666666666666667
x0_LC_Symptom_sweats_ML_3,6,0.4
x0_Vac_Status_Third,5,0.3333333333333333
x0_LC_Symptom_headache_ML_2,3,0.2
x0_PMH_none,3,0.2
x0_LC_Symptom_bloat_ML_7,2,0.13333333333333333
x1_Cytokines_PDGF-AA_Obs_Conc_pg/mL_GG14.5_ML,2,0.13333333333333333
x1_REAP_Antigen_APLN-N,2,0.13333333333333333
x1_REAP_Antigen_IL34_ML,2,0.13333333333333333
x0_LC_Symptom_heartpalp_ML_6,1,0.06666666666666667
x0_LC_Symptom_tachypnea_ML_5,1,0.06666666666666667
x1_Cytokines_CCL5_Obs_Conc_pg/mL_GG3.2_ML,1,0.06666666666666667
x1_Flow_Cyt_DC1,1,0.06666666666666667
